,job_no,roles,companies,locations,experience,salaries,skills
151,145,data scientist i,philips,['bengaluru'],7-10,not disclosed,"['deep learning', 'computer vision', 'usage', 'analytical', 'machine learning', 'agile', 'healthcare', 'data processing']"
152,146,data scientist,novitas infotech,"['noida', ' gurugram', ' bengaluru']",3-7,not disclosed,"['customer analytics', 'social media', 'agile', 'customer service', 'data mining', 'analytics', 'sql', 'python']"
153,147,data scientist,essenware,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-5,not disclosed,"['interpersonal skills', 'gcp', 'data manipulation', 'machine learning', 'programming', 'healthcare', 'deployment', 'natural language processing']"
154,148,data scientist i,dxc technology,['bengaluru'],5-9,not disclosed,"['computer science', 'logistic regression', 'deep learning', 'interpersonal skills', 'git', 'social media', 'machine learning', 'agile']"
155,149,data scientist iii,inmobi,['bengaluru'],4-7,not disclosed,"['product engineering', 'scientist iii', 'coding', 'machine learning', 'conceptualization', 'agile', 'product design', 'analytics']"
156,150,data scientist,accolite software india pvt ltd,"['hyderabad', ' bengaluru']",3-6,not disclosed,"['machine learning', 'business rules', 'data analytics', 'data visualization', 'research', 'sql', 'python', 'rules']"
157,151,iam data scientist/ data analyst,treyas infotech and consulting,['bengaluru'],4-6,not disclosed,"['django', 'splunk', 'python', 'aware', 'apis', 'web framework', 'data analysis', 'data']"
158,152,data scientist & analyst,itday,['bengaluru'],5-7,not disclosed,"['computer science', 'c++', 'data analysis', 'simulation', 'coding', 'mysql', 'machine learning', 'javascript']"
159,161,forecasting analyst / data scientist,locus it services,['bengaluru'],2-7,not disclosed,"['bpo', 'analyst', 'statistical modeling', 'process documentation', 'analytical', 'trend analysis', 'budgeting', 'forecasting']"
160,162,data scientist - python & sql focus,viaprom technologies,['kolkata'],4-6,not disclosed,"['python', 'machine learning model development', 'data scientist', 'hadoop', 'data analysis', 'data visualization', 'spark', 'relational databases']"
161,163,data scientist,gophers.in,['noida'],4-8,not disclosed,"['data science', 'azure', 'relational databases', 'machine learning', 'data engineering', 'sql', 'google cloud', 'pytorch']"
162,164,data scientist,angel one,['remote'],2-7,not disclosed,"['data mining', 'machine learning', 'statistical modelling', 'python', 'data science', 'exploratory analysis', 'data analytics', 'deep learning']"
163,165,data scientist,prodapt solutions,['hybrid - chennai'],7-10,not disclosed,"['data science', 'artificial intelligence', 'machine learning', 'deep learning', 'python', 'machine', 'intelligence', 'data']"
164,166,data scientist,sap,['bengaluru'],4-8,not disclosed,"['machine learning algorithms', 'tensorflow', 'deep learning', 'scipy', 'data science', 'pandas', 'statsmodels', 'keras']"
165,167,data scientist,paypal,['bengaluru'],4-8,not disclosed,"['automation', 'operational risk', 'risk management', 'ifrs', 'stakeholder management', 'financial services', 'sql', 'python']"
166,168,data scientist,cgi,['bengaluru'],3-6,not disclosed,"['c#', 'algorithms', 'python', 'modeling', 'data analysis', 'data analytics', 'predictive', 'microsoft azure']"
167,169,data scientist,headstrait,['mumbai'],1-5,not disclosed,"['algorithms', 'python', 'modeling', 'data analysis', 'data analytics', 'natural language processing', 'predictive', 'machine learning']"
168,170,data scientist,mad works,['hyderabad'],2-5,not disclosed,"['algorithms', 'python', 'natural language processing', 'neural networks', 'predictive analytics', 'machine learning', 'artificial intelligence', 'text analytics']"
169,171,data scientist,_vois,['hybrid - pune'],10-20,not disclosed,"['big data handling', 'aiml', 'machine learning', 'aws', 'deep learning', 'artificial intelligence', 'ai platform', 'intelligence']"
170,172,data scientist,apollo 247,['gurugram'],3-8,12-22,"['product management', 'management', 'data']"
171,173,data scientist (pytotrch/tensorflow),uplers,['remote'],3-6,20-32.5,"['data science', 'pytorch', 'machine learning', 'tensorflow', 'nosql', 'deep learning', 'python', 'science']"
172,174,data scientist,spidernine,['pune'],3-7,not disclosed,"['machine learning', 'programming', 'data visualization', 'python', 'data', 'program', 'machine']"
173,175,data scientist,travelfika,"['salem', ' coimbatore']",3-7,not disclosed,"['algorithms', 'python', 'modeling', 'data analysis', 'natural language processing', 'predictive', 'machine learning', 'data collection']"
174,176,data scientist,square panda,['mumbai'],3-5,not disclosed,"['statistical programming', 'data science', 'analytical', 'machine learning', 'data collection', 'data visualization', 'data mining', 'sql']"
175,177,data scientist | in app information technology,inapp,['thiruvananthapuram'],4-6,not disclosed,"['data science', 'natural language processing', 'statistical modeling', 'machine learning', 'deep learning', 'application', 'machine', 'technology']"
176,178,data scientist,devo,['noida'],3-8,not disclosed,"['performance tuning', 'security management', 'soc', 'debugging', 'machine learning', 'data quality', 'analytics', 'monitoring']"
177,179,data scientist,rarr technologies,['remote'],5-8,not disclosed,"['computer science', 'data analysis', 'usage', 'data science', 'data manipulation', 'focus', 'machine learning', 'deployment']"
178,180,data scientist,paypal,['bengaluru'],5-10,not disclosed,"['unix', 'data science', 'analytical', 'customer support', 'customer experience', 'operations', 'financial services', 'monitoring']"
179,181,data scientist,paypal,['bengaluru'],3-8,not disclosed,"['analytical', 'application development', 'risk management', 'business intelligence', 'data mining', 'financial services', 'analytics', 'monitoring']"
180,182,data scientist,paypal,['bengaluru'],4-8,not disclosed,"['deep learning', 'data science', 'diversity and inclusion', 'machine learning', 'analytics', 'monitoring', 'sql', 'python']"
181,183,data scientist - ss,daimler india commercial vehicles ltd,['bengaluru'],2-7,not disclosed,"['computer science', 'simulation', 'data modeling', 'coding', 'agile', 'customer service', 'distribution system', 'analytics']"
182,184,data scientist,conneqt digital,['bengaluru'],5-9,not disclosed,"['solution architecture', 'deep learning', 'sas', 'analytical', 'artificial intelligence', 'machine learning', 'data visualization', 'sql']"
183,185,data scientist,fluxwings solutions mumbai,['mumbai'],2-7,not disclosed,"['data prediction', 'data analysis', 'data mining', 'data crunching', 'analysis', 'data']"
184,186,data scientist,pega,['bengaluru'],6-11,not disclosed,"['product management', 'logistic regression', 'core java', 'pdf', 'neural networks', 'machine learning', 'agile', 'pega']"
185,187,data scientist,pg,['mumbai'],2-5,not disclosed,"['unix', 'supply chain', 'computer science', 'c++', 'data science', 'linux', 'data management', 'analytical']"
186,188,data scientist,"mutual mobile, inc.",['hyderabad'],8-13,not disclosed,"['advanced analytics', 'product engineering', 'business transformation', 'technology consulting', 'machine learning', 'silicon', 'medical insurance', 'forecasting']"
187,189,data scientist,paypal,['bengaluru'],5-10,not disclosed,"['automation', 'coding', 'analytical', 'finance', 'diversity and inclusion', 'risk management', 'business intelligence', 'individual contributor']"
188,190,data scientist,tokopedia,['bengaluru'],1-2,not disclosed,"['computer science', 'operations research', 'prototype', 'version control', 'formulation', 'machine learning', 'data processing', 'sql']"
189,191,data scientist,somet consulting,"['gandhinagar', ' ahmedabad', ' vadodara']",4-9,15-30,"['data science', 'predictive modeling', 'pyspark', 'amazon ec2', 'logistic regression', 'natural language processing', 'credit risk modelling', 'machine learning']"
190,192,data scientist,it consulting,['pune'],3-8,not disclosed,"['data scientist', 'nlp', 'rag', 'llm', 'python', 'natural language processing', 'data']"
191,193,data scientist,cynosure corporate solutions,['chennai'],2-6,not disclosed,"['natural language processing', 'ml algorithms', 'deep learning', 'framework', 'predictive analytics', 'algorithms', 'data', 'analytics']"
192,194,data scientist - telco,payu india,['bengaluru'],2-7,not disclosed,"['telecom', 'nosql', 'neural networks', 'analytical', 'machine learning', 'forecasting', 'operations', 'sql']"
193,195,data scientist (telco),payu india,"['gurugram', ' bengaluru']",2-7,not disclosed,"['telecom', 'logistic regression', 'analytical', 'social media', 'machine learning', 'forecasting', 'operations', 'financial services']"
194,196,data scientist,agilite global solutions,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",5-10,not disclosed,"['data analysis', 'usage', 'git', 'data science', 'data modeling', 'data security', 'machine learning', 'troubleshooting']"
195,197,data scientist,tiger analytics,"['hybrid - hyderabad', ' bangalore rural', ' chennai']",4-6,not disclosed,"['data science', 'classification', 'regression', 'machine learning', 'python', 'predictive modeling', 'time series', 'statistical analyses']"
196,198,data scientist,expro informatics india,['bengaluru'],3-5,1-1.5,"['pyspark', 'azure', 'sparksql', 'python', 'sql', 'data scientist', 'data', 'microsoft azure']"
197,199,data scientists,mirafra,['bengaluru'],3-12,not disclosed,['data scientists']
198,200,data scientist,tiger analytics,['remote'],4-7,5-15,"['regression', 'model building', 'logistic regression', 'market mix modelling', 'marketing analytics', 'linear regression', 'time series analysis', 'classification']"
199,201,data scientist,tata technologies,"['hybrid - pune', ' bengaluru']",6-9,not disclosed,"['tensorflow', 'pyspark', 'keras', 'data']"
200,202,data scientist / decision scientist,maruti suzuki,['bengaluru'],3-5,not disclosed,"['cloud computing', 'data science', 'neural networks', 'machine learning', 'programming', 'telematics', 'data visualization', 'automotive']"
201,203,data scientist,tiger analytics,"['hyderabad', ' chennai', ' bengaluru']",4-7,not disclosed,"['data science', 'regression', 'machine learning', 'python', 'predictive modeling', 'classification', 'customer analytics', 'marketing analytics']"
202,204,data scientist,itc infotech,['bengaluru'],3-7,not disclosed,"['tableau', 'data management', 'data science', 'architecting', 'continuous improvement', 'analytics', 'management', 'data']"
203,205,data scientist,myntra,['bengaluru'],2-4,not disclosed,"['nosql', 'machine learning', 'performance testing', 'scm', 'troubleshooting', 'forecasting', 'monitoring', 'sql']"
204,206,data scientist,alyssum global services,"['hybrid - noida', ' new delhi', ' bengaluru']",3-7,6-15,"['r', 'insight generation', 'artificial neural networks', 'data modeling', 'python', 'google analytics', 'decision tree', 'data interpretation']"
205,207,nlp data scientist - real world data (rwd),agilite global solutions,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",7-8,not disclosed,"['computer science', 'health insurance', 'pharma', 'analytical', 'agile', 'healthcare', 'life sciences', 'open source']"
206,208,data scientist,subhag healthtech,['bengaluru'],5-7,not disclosed,"['relationship management', 'erp', 'surgical', 'pharma', 'analytical', 'healthcare', 'digital marketing', 'ms office']"
207,209,data scientist / data engineer,bizopp management consultants,['chennai'],4-9,10-12,"['deep learning', 'machine learning', 'python', 'c++', 'r', 'nosql', 'data analysis', 'data scientist']"
208,210,data scientist iii,leading client,['bengaluru'],7-11,not disclosed,"['python', 'c++', 'golang', 'node.js', 'java', 'natural language processing', 'presentation skills', 'sap erp']"
209,211,data scientist,leading client in gaming industry,['bengaluru'],4-9,40-70,"['data science', 'machine learning', 'statistics', 'deep learning', 'sql', 'statistical modeling', 'machine learning algorithms', 'spark']"
210,212,data scientist / data analyst,siemens,['panaji'],3-5,not disclosed,"['data analysis', 'analytical', 'machine learning', 'predictive modeling', 'microsoft', 'operations', 'analytics', 'sql']"
211,213,data scientist,norstella,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",5-10,not disclosed,"['data analysis', 'usage', 'git', 'data science', 'data modeling', 'data security', 'machine learning', 'troubleshooting']"
212,214,data scientist - sagemaker,winning edge,"['bengaluru', ' karnataka']",5-9,not disclosed,"['sagemaker', 'gensim', 'java', 'scikit-learn', 'tensorflow or pytorch', 'spacy', 'nlp', 'corenlp']"
213,215,data scientist,microsoft,['bengaluru'],4-7,not disclosed,"['publishing', 'business analytics', 'analytical', 'data quality', 'windows', 'microsoft', 'troubleshooting', 'distribution system']"
214,216,data scientist,soho dragon,['bengaluru'],4-11,not disclosed,"['machine learning', 'agile', 'model development', 'natural language processing', 'data visualization', 'microsoft', 'predictive analytics', 'monitoring']"
215,217,data scientist,codvo,"['mumbai', ' delhi / ncr', ' bengaluru']",2-5,not disclosed,"['nlp', 'machine learning', 'deep learning', 'pytorch', 'theano', 'pyspark', 'data science', 'azure databricks']"
216,218,data scientist,agilite global solutions,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",5-10,not disclosed,"['data analysis', 'usage', 'git', 'data science', 'data modeling', 'data security', 'machine learning', 'troubleshooting']"
217,219,data scientist,emmes,['bengaluru'],3-8,not disclosed,"['deep learning', 'machine learning', 'programming', 'infrastructure', 'clinical research', 'model development', 'natural language processing', 'public health']"
218,220,data scientist,vayuz technologies,['bengaluru'],4-8,not disclosed,"['data science', 'ai/ml', 'nlp', 'image processing', 'llm', 'processing', 'data', 'natural language processing']"
219,221,data scientist - marketing and data analytics,vayuz technologies,['bengaluru'],5-7,not disclosed,"['gcp', 'data science', 'marketing analytics', 'data analytics', 'google bigquery', 'vertex ai', 'google cloud platform', 'campaign analytics']"
220,222,data scientist - rental operations (ren00414),pretium partners,['bengaluru'],2-4,not disclosed,"['data analysis', 'operational excellence', 'quantitative research', 'project management', 'risk modeling', 'machine learning', 'customer experience', 'stakeholder management']"
221,223,data scientist,winning edge,['bengaluru'],7-10,not disclosed,"['r', 'azure', 'aws', 'python', 'sql', 'tensorflow', 'spark mllib', 'pytorch']"
222,224,nlp data scientist ai real world data (rwd),norstella,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-7,not disclosed,"['computer science', 'health insurance', 'pharma', 'analytical', 'machine learning', 'hipaa', 'healthcare', 'life sciences']"
223,225,data scientist,xcel hires managment solutions pvt ltd,['bengaluru'],3-8,not disclosed,"['computer science', 'computer vision', 'deep learning', 'statistical modeling', 'machine learning', 'programming', 'transformers', 'hr']"
224,226,data scientist,winning edge,['bengaluru'],8-10,not disclosed,"['r', 'azure', 'aws', 'python', 'sql', 'tensorflow', 'pytorch', 'data']"
225,227,data scientist,vikara.ai,['remote'],5-10,30-45,"['artificial intelligence', 'frontend development', 'google cloud platforms', 'machine learning', 'python', 'data science', 'backend', 'docker']"
226,228,data scientist (1),blubirch,['bengaluru'],5-10,not disclosed,"['computer science', 'pdf', 'data management', 'data science', 'machine learning', 'deployment', 'scientist 1', 'data mining']"
227,229,data scientist,diligent corporation,['bengaluru'],2-5,not disclosed,"['computer science', 'c', 'project management', 'analytical', 'machine learning', 'legal', 'manager technology', 'wellness']"
228,230,data scientist with llm background,rarr technologies,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-5,not disclosed,"['statistical analysis', 'data science', 'machine learning', 'programming', 'natural language processing', 'research', 'statistics', 'python']"
229,231,data scientist,winning edge,['bengaluru'],7-10,not disclosed,"['r', 'azure', 'aws', 'python', 'sql', 'tensorflow', 'spark mllib', 'pytorch']"
230,232,data scientist & generative ai,smart wealth,"['delhi / ncr', ' bengaluru']",5-10,not disclosed,"['generative ai', 'data science', 'cloud', 'gen ai', 'azure', 'nlp', 'ml and llm', 'aws']"
231,233,remote opportunity for data scientists,navikenz,['remote'],5-8,not disclosed,"['data science', 'predictive modeling', 'genai', 'natural language processing', 'tensorflow', 'pytorch', 'machine learning', 'deep learning']"
232,234,data scientist,global pharma tek,['bengaluru'],2-6,not disclosed,"['computer vision', 'deep learning', 'consulting', 'machine learning', 'data processing', 'natural language processing', 'forecasting', 'analytics']"
233,235,data scientist,youtrip,['bengaluru'],2-3,not disclosed,"['computer science', 'excel', 'statistical analysis', 'analytical', 'consulting', 'hypothesis testing', 'data visualization', 'forecasting']"
234,236,"data scientist specialist (nlp, llm, and genai)",nasdaq,['bengaluru'],7-9,not disclosed,"['selection process', 'computer science', 'health insurance', 'git', 'financial markets', 'version control', 'linux', 'flex']"
235,237,data scientist (time series forecasting),evnek,"['mumbai', ' delhi / ncr', ' bengaluru']",4-6,not disclosed,"['sales forecasting', 'price strategy', 'arima', 'lstm', 'pandas', 'pricing strategy', 'time series', 'scikit']"
236,238,data scientist - python,ginger partners,['bengaluru'],3-6,not disclosed,"['python', 'data science', 'opencv', 'data scientist', 'data management', 'matlab', 'machine learning', 'numpy']"
237,239,data scientist,xoom,"['chennai', ' bengaluru']",4-7,not disclosed,"['computer science', 'automation', 'operational risk', 'wellness', 'risk management', 'ifrs', 'stakeholder management', 'financial services']"
238,240,data scientist,sparkcognition,['bengaluru'],3-5,not disclosed,"['operational excellence', 'renewable energy', 'performance management', 'gcp', 'machine learning', 'cloud', 'workflow', 'genetics']"
239,241,data scientist,spearhead,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",5-10,not disclosed,"['development testing', 'coding', 'manager technology', 'http', 'business applications', 'big data', 'aws', 'solution architect']"
240,242,data scientist,virtue sources,['bengaluru'],5-8,not disclosed,"['computer science', 'automation', 'machine learning', 'information retrieval', 'natural language processing', 'aws', 'analytics', 'sql']"
241,243,data scientist,bizviz technologies,['bengaluru'],3-7,not disclosed,"['erp', 'data analysis', 'sas', 'simulation', 'analytical', 'machine learning', 'healthcare', 'data mining']"
242,244,data scientist,futurism technologies,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-4,not disclosed,"['data analysis', 'google analytics', 'django', 'mysql', 'machine learning', 'data mining', 'business solutions', 'sql']"
243,245,data scientist,paktolus solutions,['bengaluru'],5-7,not disclosed,"['computer science', 'computer vision', 'gcp', 'machine learning', 'performance testing', 'stored procedures', 'troubleshooting', 'monitoring']"
244,246,data scientist,netcore cloud,['bengaluru'],3-5,not disclosed,"['prototype', 'brand ambassador', 'machine learning', 'programming', 'data structures', 'information retrieval', 'natural language processing', 'data mining']"
245,247,data scientist,ducker worldwide management consulting,['bengaluru'],2-3,not disclosed,"['excel', 'statistical analysis', 'analytical', 'consulting', 'hypothesis testing', 'data visualization', 'forecasting', 'sql']"
246,248,data scientist,elevate global,['bengaluru'],2-3,not disclosed,"['computer science', 'excel', 'statistical analysis', 'analytical', 'consulting', 'hypothesis testing', 'data visualization', 'forecasting']"
247,249,data scientist,preceptors it and business solutions,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",3-6,not disclosed,"['algorithms', 'python', 'project management', 'modeling', 'data analysis', 'data analytics', 'preventive maintenance', 'business solutions']"
248,250,"data scientist, cyber risk",safe security,['bengaluru'],1-3,not disclosed,"['computer science', 'data modeling', 'event management', 'risk modeling', 'risk assessment', 'machine learning', 'siem', 'data quality']"
249,251,data scientist - llm,course5 intelligence,"['gurugram', ' bengaluru', ' mumbai (all areas)']",3-7,18-25,"['azure', 'natural language processing', 'llm', 'machine learning', 'python', 'data science', 'processing', 'data']"
250,252,data scientist,bdb.ai,['bengaluru'],3-8,not disclosed,"['erp', 'data analysis', 'sas', 'simulation', 'analytical', 'machine learning', 'healthcare', 'data mining']"
251,253,data scientist,ecolab digital center (edc),['bengaluru'],2-5,not disclosed,"['data analysis', 'data science', 'project management', 'deployment', 'mathematics', 'research', 'statistics', 'supervision']"
252,254,data scientist,intense technologies,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",3-7,not disclosed,"['computer science', 'training', 'data science', 'machine learning', 'programming', 'natural language processing', 'research', 'python']"
253,255,data scientist,bureau,['bengaluru'],5-7,not disclosed,"['computer science', 'health insurance', 'data analysis', 'backend', 'data science', 'data modeling', 'machine learning', 'financial services']"
254,256,data scientist,response informatics,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-6,not disclosed,['data scientist']
255,257,data scientist,everest vacuum,['bengaluru'],3-7,not disclosed,"['product management', 'data analysis', 'talent acquisition', 'gcp', 'artificial intelligence', 'service engineering', 'machine learning', 'cloud']"
256,258,data scientist,ingersoll rand,['bengaluru'],4-8,not disclosed,"['product management', 'data analysis', 'talent acquisition', 'gcp', 'artificial intelligence', 'service engineering', 'machine learning', 'cloud']"
257,259,data scientist,winning edge,"['bengaluru', ' karnataka']",7-10,not disclosed,"['data science', 'pytorch', 'r', 'azure', 'gcp', 'aws', 'python', 'sql']"
258,260,data scientist,winning edge,['bengaluru'],7-10,not disclosed,"['data science', 'pytorch', 'r', 'azure', 'data visualization', 'aws', 'python', 'sql']"
259,261,data scientist,idc engineering,['bengaluru'],6-10,not disclosed,"['power bi', 'aws cloud', 'snowflake', 'python', 'sql', 'azure cloud', 'bi', 'cloud']"
260,262,data scientist,semicab - collaborative transportation platform,['bengaluru'],2-6,not disclosed,"['machine learning', 'deployment', 'data', 'machine']"
261,263,expert data scientist,radware ltd,['bengaluru'],5-6,not disclosed,"['data analysis', 'cyber security', 'gcp', 'analytical', 'machine learning', 'data visualization', 'analytics', 'sql']"
262,264,data scientist,sumeru digital solutions,['bengaluru'],3-8,not disclosed,['data scientist']
263,265,data scientist,mongodb,['bengaluru'],4-7,not disclosed,"['data management', 'data modeling', 'analytical', 'javascript', 'application development', 'forecasting', 'analytics', 'sql']"
264,266,data scientist- marketing mix,course5 intelligence,"['hybrid - gurgaon/gurugram', ' bangalore/bengaluru', ' mumbai (all areas)']",4-7,15-25,"['insights', 'market mix modelling', 'cpg', 'mmm', 'statistics', 'modeling', 'marketing', 'marketing mix']"
265,267,data scientist,european company,"['hybrid - chennai', ' bengaluru', ' mumbai (all areas)']",10-15,45-80,"['ai', 'nlp', 'predictive modeling', 'ui/ux', 'ux', 'text analytics', 'ai solutions', 'dl']"
266,268,data scientist,aurigo software technologies,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",4-8,not disclosed,"['deep learning', 'product engineering', 'sql database', 'machine learning', 'cloud', 'natural language processing', 'data mining', 'aws']"
267,269,machine learning data scientist - nlp,forecastera india,"['hyderabad', ' bengaluru']",3-7,not disclosed,"['front end', 'machine learning', 'information retrieval', 'natural language processing', 'open source', 'analytics', 'python', 'salesforce']"
268,270,data scientist,neostats analytics solutions,['bengaluru'],3-8,not disclosed,"['computer science', 'data analysis', 'sas', 'data science', 'mis', 'analytical', 'data analytics', 'information technology']"
269,271,data scientist-deep learning/transformer,response informatics,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",8-10,not disclosed,"['image processing', 'python', 'natural language processing', 'scikit-learn', 'neural networks', 'machine learning', 'artificial intelligence', 'text analytics']"
270,272,data scientist - 3,acko,['bengaluru'],4-6,not disclosed,"['computer science', 'deep learning', 'data science', 'analytical', 'machine learning', 'mathematics', 'customer experience', 'open source']"
271,273,data scientist,fedex,"['hybrid - pune', ' bengaluru', ' mumbai (all areas)']",2-6,not disclosed,"['python', 'sql', 'gcp', 'natural language processing', 'regression', 'clustering', 'aws', 'ml algorithms']"
272,274,data scientist,ramsoft systems,['bengaluru'],2-4,not disclosed,"['product management', 'quality monitoring', 'machine learning', 'radiology', 'healthcare', 'natural language processing', 'data quality', 'continuous improvement']"
273,275,data scientist,xoom,"['chennai', ' bengaluru']",5-7,not disclosed,"['analytical', 'wellness', 'data mining', 'teradata', 'analytics', 'financial services', 'monitoring', 'product marketing']"
274,276,data scientist,valenta pvt ltd,['bengaluru'],5-10,not disclosed,"['data analysis', 'data visualization', 'data mining', 'machine learning', 'machine', 'data', 'analysis']"
275,277,data scientist - mlb,snapminds technologies,['bengaluru'],2-3,not disclosed,"['it services', 'logistic regression', 'head business development', 'sas', 'machine learning', 'vendor', 'forecasting', 'crm']"
276,278,data scientist,superior electric machines,"['mumbai', ' chennai', ' bengaluru']",9-14,not disclosed,"['python', 'hive', 'scenario analysis', 'data mining', 'hadoop', 'statistical models', 'data scientist', 'spark']"
277,279,data scientist,aie group,['bengaluru'],5-10,not disclosed,"['usage', 'data science', 'spark', 'programming', 'python', 'data', 'program', 'science']"
278,280,data scientist - ai ml team,customerxps software,['bengaluru'],8-13,not disclosed,"['computer science', 'automation', 'artificial intelligence', 'machine learning', 'data collection', 'risk management', 'monitoring', 'sql']"
279,281,data scientist,obviously.ai,['bengaluru'],2-6,not disclosed,"['training', 'san', 'data analysis', 'backend', 'data science', 'machine learning', 'venture capital', 'equity']"
280,282,data scientist,equifax credit information services private limited,['bengaluru'],3-5,not disclosed,"['computer science', 'operations research', 'analytical', 'machine learning', 'algorithm development', 'data structures', 'healthcare', 'test cases']"
281,283,data scientist,equifax credit information services private limited,['bengaluru'],4-9,not disclosed,"['stress testing', 'team management', 'coding', 'bfsi', 'analytical', 'risk modeling', 'healthcare', 'credit risk']"
282,284,data scientist,digital glyde,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",3-7,not disclosed,"['data analysis', 'operations research', 'social science', 'analytical', 'report writing', 'mysql', 'cloud', 'database']"
283,285,data scientist,scalein,['bengaluru'],4-9,not disclosed,"['performance tuning', 'analytical', 'postgresql', 'administration', 'perl', 'sql', 'nosql', 'analytics']"
284,286,data scientist,intersoft kk,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-5,not disclosed,"['computer vision', 'gcp', 'artificial intelligence', 'mysql', 'machine learning', 'php', 'data structures', 'sql']"
285,287,data scientist,pegasus knowledge solutions (pksi),['bengaluru'],8-10,not disclosed,"['base sas', 'excel', 'data science', 'data modeling', 'sql', 'python', 'data', 'science']"
286,288,data scientist,nityo infotech,['bengaluru'],2-5,not disclosed,"['data analysis', 'machine learning', 'programming', 'power bi', 'product design', 'predictive modeling', 'pattern recognition', 'analytics']"
287,289,data scientist,artificial learning systems,['bengaluru'],2-7,not disclosed,"['supply chain', 'computer science', 'google analytics', 'business analyst', 'coding', 'machine learning', 'healthcare', 'data mining']"
288,290,data scientist,bharat light & power (blp),['bengaluru'],3-8,not disclosed,"['data analysis', 'factor analysis', 'linux', 'machine learning', 'hypothesis testing', 'data processing', 'big data', 'sql']"
289,291,data scientist,myyogateacher,['bengaluru'],3,not disclosed,"['business objects', 'sas', 'xml', 'mysql', 'javascript', 'data collection', 'data processing', 'data analyst']"
290,292,data scientist,btropsn software,['bengaluru'],3-5,not disclosed,"['computer science', 'prototype', 'git', 'analytical', 'machine learning', 'information retrieval', 'data quality', 'forecasting']"
291,293,data scientist,naghavi fintech,['bengaluru'],2-6,not disclosed,"['data mining', 'statistics', 'data']"
292,294,data scientist,hakimo,['bengaluru'],3-5,not disclosed,"['tableau', 'data science', 'sql database', 'security systems', 'physical security', 'management', 'data warehousing', 'python']"
293,295,data scientist,praana power,['bengaluru'],4-8,not disclosed,"['python', 'data scientist', 'data']"
294,296,data scientist,tata industries limited-tata insights and quants divison,['bengaluru'],2-7,not disclosed,"['hive', 'python', 'data mining', 'neural networks', 'predictive analytics', 'time series', 'random forest', 'svm']"
295,297,data scientist,magna international,['bengaluru'],3-5,not disclosed,"['operations research', 'simulation', 'data management', 'analytical', 'german', 'spanish', 'continuous improvement', 'analytics']"
296,298,data scientist,response informatics,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",4-7,not disclosed,"['training', 'data analysis', 'data science', 'machine learning', 'infrastructure', 'programming', 'model development', 'deployment']"
297,299,data scientist,shriram finance limited,['bengaluru'],4-9,not disclosed,"['natural language processing', 'machine learning', 'sql', 'predictive modeling', 'data science', 'data scientist', 'artificial intelligence', 'deep learning']"
298,300,data scientist,dori ai,['bengaluru'],2-4,not disclosed,"['computer vision', 'performance tuning', 'deep learning', 'data science', 'analytical', 'machine learning', 'packaging', 'data structures']"
299,301,data scientist,aptus data labs,['bengaluru'],2-5,not disclosed,"['it services', 'san', 'operations research', 'production planning', 'analytical', 'consulting', 'sms', 'crm']"
300,302,data scientist,xebia it architects,['bengaluru'],8-10,not disclosed,"['mining', 'text mining', 'logistic regression', 'machine learning', 'data mining', 'continuous improvement', 'open source', 'forecasting']"
301,303,data scientist,ideslabs,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",5-8,not disclosed,"['computer science', 'rdbms', 'analytical', 'machine learning', 'predictive modeling', 'data visualization', 'research', 'business case']"
302,304,data scientist,idexcel,['bengaluru'],3-8,not disclosed,"['computer vision', 'automation', 'neural networks', 'debugging', 'machine learning', 'agile', 'customer experience', 'technology solutions']"
